Energy (MeV)	mu/rho (cm^2/g)	mu_en/rho (cm^2/g)
0.08950000000000000000	2.339e-02	2.339e-02
0.09050000000000000000	2.336e-02	2.336e-02
0.09150000000000000000	2.333e-02	2.333e-02
0.09250000000000000000	2.330e-02	2.330e-02
0.09350000000000000000	2.329e-02	2.329e-02
0.09450000000000000000	2.327e-02	2.327e-02
0.09550000000000000000	2.326e-02	2.326e-02
0.09650000000000000000	2.325e-02	2.325e-02
0.09750000000000000000	2.325e-02	2.325e-02
0.09850000000000000000	2.325e-02	2.325e-02
0.09950000000000000000	2.325e-02	2.325e-02
0.10050000000000000000	2.325e-02	2.325e-02
0.10150000000000000000	2.326e-02	2.326e-02
0.10250000000000000000	2.327e-02	2.327e-02
0.10350000000000000000	2.328e-02	2.328e-02
0.10450000000000000000	2.330e-02	2.330e-02
0.10550000000000000000	2.331e-02	2.331e-02
0.10650000000000000000	2.333e-02	2.333e-02
0.10750000000000000000	2.335e-02	2.335e-02
0.10850000000000000000	2.337e-02	2.337e-02
0.10950000000000000000	2.340e-02	2.340e-02
0.11050000000000000000	2.342e-02	2.342e-02
0.11150000000000000000	2.344e-02	2.344e-02
0.11250000000000000000	2.347e-02	2.347e-02
0.11350000000000000000	2.350e-02	2.350e-02
0.11450000000000000000	2.353e-02	2.353e-02
0.11550000000000000000	2.356e-02	2.356e-02
0.11650000000000000000	2.359e-02	2.359e-02
0.11750000000000000000	2.362e-02	2.362e-02
0.11850000000000000000	2.365e-02	2.365e-02
0.11950000000000000000	2.368e-02	2.368e-02
0.12050000000000000000	2.371e-02	2.371e-02
0.12150000000000000000	2.375e-02	2.375e-02
0.12250000000000000000	2.378e-02	2.378e-02
0.12350000000000000000	2.382e-02	2.382e-02
0.12450000000000000000	2.385e-02	2.385e-02
0.12550000000000000000	2.389e-02	2.389e-02
0.12650000000000000000	2.392e-02	2.392e-02
0.12750000000000000000	2.396e-02	2.396e-02
0.12850000000000000000	2.399e-02	2.399e-02
0.12950000000000000000	2.403e-02	2.403e-02
0.13050000000000000000	2.406e-02	2.406e-02
0.13150000000000000000	2.410e-02	2.410e-02
0.13250000000000000000	2.414e-02	2.414e-02
0.13350000000000000000	2.417e-02	2.417e-02
0.13450000000000000000	2.421e-02	2.421e-02
0.13550000000000000000	2.425e-02	2.425e-02
0.13650000000000000000	2.428e-02	2.428e-02
0.13750000000000000000	2.432e-02	2.432e-02
0.13850000000000000000	2.436e-02	2.436e-02
0.13950000000000000000	2.439e-02	2.439e-02
0.14050000000000000000	2.443e-02	2.443e-02
0.14150000000000000000	2.447e-02	2.447e-02
0.14250000000000000000	2.450e-02	2.450e-02
0.14350000000000000000	2.454e-02	2.454e-02
0.14450000000000000000	2.458e-02	2.458e-02
0.14550000000000000000	2.461e-02	2.461e-02
0.14650000000000000000	2.465e-02	2.465e-02
0.14750000000000000000	2.469e-02	2.469e-02
0.14850000000000000000	2.472e-02	2.472e-02
0.14950000000000000000	2.476e-02	2.476e-02
